county,instance_id,benchmark,optimized_objective,completion_time,num_parks,route_cost,walking_cost,loading_cost,parking_time,q,f
Adams,3,Relaxed M-S (alpha=0.6),117.94069999999999,376.56783333333334,50,21.567833333333326,0.0,105.0,5.0,3,2.1
Adams,3,Relaxed M-S (alpha=0.8),122.25426666666667,376.56783333333334,50,21.567833333333326,0.0,105.0,5.0,3,2.1
Adams,4,CDPP,269.8595,269.8595,12,59.15416666666667,45.705333333333336,105.0,5.0,3,2.1
Adams,4,Modified TSP,310.5303333333333,310.5303333333333,23,60.11283333333334,135.41749999999996,105.0,5.0,3,2.1
Adams,4,Relaxed M-S (alpha=0.5),135.07491666666667,395.14983333333333,46,60.149833333333326,0.0,105.0,5.0,3,2.1
Adams,4,Relaxed M-S (alpha=0.6),141.0899,395.14983333333333,46,60.149833333333326,0.0,105.0,5.0,3,2.1
Adams,4,Relaxed M-S (alpha=0.8),153.11986666666667,395.14983333333333,46,60.149833333333326,0.0,105.0,5.0,3,2.1
Adams,5,CDPP,283.2551666666667,283.2551666666667,13,45.36283333333333,67.89233333333334,105.0,5.0,3,2.1
Adams,5,Modified TSP,296.2985,296.2985,22,44.644666666666666,141.65383333333332,105.0,5.0,3,2.1
Adams,5,Relaxed M-S (alpha=0.5),127.96866666666666,400.93733333333336,50,45.937333333333335,0.0,105.0,5.0,3,2.1
Adams,5,Relaxed M-S (alpha=0.6),132.5624,400.93733333333336,50,45.937333333333335,0.0,105.0,5.0,3,2.1
Adams,5,Relaxed M-S (alpha=0.8),141.74986666666666,400.93733333333336,50,45.937333333333335,0.0,105.0,5.0,3,2.1
Adams,6,CDPP,303.5585,303.5585,18,34.428333333333335,74.13016666666667,105.0,5.0,3,2.1
Adams,6,Modified TSP,321.63933333333347,321.63933333333347,26,34.512166666666666,157.12716666666682,105.0,5.0,3,2.1
Adams,6,Relaxed M-S (alpha=0.5),125.14516666666667,395.2903333333333,50,40.29033333333333,0.0,105.0,5.0,3,2.1
Adams,6,Relaxed M-S (alpha=0.6),129.17419999999998,395.2903333333333,50,40.29033333333333,0.0,105.0,5.0,3,2.1
Adams,6,Relaxed M-S (alpha=0.8),137.23226666666667,395.2903333333333,50,40.29033333333333,0.0,105.0,5.0,3,2.1
Adams,7,CDPP,253.1495,253.1495,12,28.580666666666662,59.56883333333333,105.0,5.0,3,2.1
Adams,7,Modified TSP,281.03366666666665,281.03366666666665,22,28.312499999999996,142.72116666666665,105.0,5.0,3,2.1
Adams,7,Relaxed M-S (alpha=0.5),120.01950000000001,385.039,50,30.03900000000001,0.0,105.0,5.0,3,2.1
